,地震編號,臺灣時間,Longitude,Latitude,magnitude,depth,震央位置
75,小區域,2月05日17時06分,121.76,24.16,4.5,7.6,花蓮縣政府東北方  23.6  公里 (位於花蓮縣近海)
76,小區域,2月05日17時44分,121.7,24.13,4,15.1,花蓮縣政府北偏東方  17.7  公里 (位於花蓮縣近海)
77,小區域,2月05日18時44分,121.67,24.2,3.6,9.6,花蓮縣政府北偏東方  24.1  公里 (位於花蓮縣近海)
78,小區域,2月05日19時40分,121.76,24.2,3.7,14.3,花蓮縣政府北偏東方  27.2  公里 (位於臺灣東部海域)
79,小區域,2月05日20時59分,121.68,24.17,3.6,17.8,花蓮縣政府北偏東方  21.0  公里 (位於花蓮縣近海)
80,小區域,2月05日21時58分,121.68,24.27,3.6,14.7,花蓮縣政府北偏東方  31.4  公里 (位於花蓮縣秀林鄉)
81,小區域,2月05日22時34分,120.33,23.44,3.4,13.3,嘉義縣政府東偏南方  4.2  公里 (位於嘉義縣太保市)
82,小區域,2月05日23時53分,121.71,24.13,3.6,7.8,花蓮縣政府東北方  17.7  公里 (位於花蓮縣近海)
83,第017號,2月05日23時58分,121.72,24.14,5,10,花蓮縣政府北偏東方  19.3  公里 (位於花蓮縣近海)
84,小區域,2月06日00時32分,121.7,24.14,3.8,7.7,花蓮縣政府北偏東方  18.4  公里 (位於花蓮縣近海)
85,小區域,2月06日00時53分,121.69,24.13,3.4,11,花蓮縣政府北偏東方  16.5  公里 (位於花蓮縣近海)
86,小區域,2月06日00時57分,121.68,24.15,3.5,10.6,花蓮縣政府北偏東方  18.1  公里 (位於花蓮縣近海)
87,小區域,2月06日01時00分,121.67,24.16,3.4,9.7,花蓮縣政府北偏東方  19.3  公里 (位於花蓮縣近海)
88,小區域,2月06日01時37分,121.79,24.17,4.4,15.5,花蓮縣政府東北方  26.2  公里 (位於臺灣東部海域)
89,小區域,2月06日05時12分,121.62,24.08,3.7,9.5,花蓮縣政府北方  10.2  公里 (位於花蓮縣近海)
90,小區域,2月06日07時40分,121.75,24.32,3.9,18.5,宜蘭縣政府南方  45.9  公里 (位於宜蘭縣南澳鄉)
91,小區域,2月06日08時35分,121.65,24.16,3.8,5,花蓮縣政府北偏東方  18.5  公里 (位於花蓮縣秀林鄉)
92,小區域,2月06日12時42分,121.67,24.14,3.4,17.7,花蓮縣政府北偏東方  17.6  公里 (位於花蓮縣近海)
93,第018號,2月06日13時09分,121.69,24.2,4.7,9.7,花蓮縣政府北偏東方  24.6  公里 (位於花蓮縣近海)
94,小區域,2月06日14時27分,121.71,24.13,4.2,10.4,花蓮縣政府北偏東方  17.7  公里 (位於花蓮縣近海)
95,小區域,2月06日15時07分,121.71,24.18,3.5,10.4,花蓮縣政府北偏東方  23.1  公里 (位於花蓮縣近海)
96,第019號,2月06日15時08分,121.71,24.18,4,10.3,花蓮縣政府北偏東方  23.2  公里 (位於花蓮縣近海)
97,小區域,2月06日15時58分,121.76,24.2,3.6,11.4,花蓮縣政府東北方  27.2  公里 (位於臺灣東部海域)
98,小區域,2月06日16時26分,121.7,24.13,4.1,8.2,花蓮縣政府北偏東方  16.9  公里 (位於花蓮縣近海)
99,第020號,2月06日16時36分,121.72,24.11,4.2,5.7,花蓮縣政府東北方  16.7  公里 (位於花蓮縣近海)
100,第021號,2月06日17時20分,121.77,24.23,4,6.5,花蓮縣政府北偏東方  30.4  公里 (位於花蓮縣近海)
